№ п/п;"№ Відділення ТОВ ""ЕПС""";Область;Район в обл.;Індекс;Тип населеного пункту;Населений пункт;Район в місті;Тип вулиці;Адреса;Номер будинку;Дата признчення керівника;модель РРО;Заводський № РРО;2;koatu1;koatu2
527;1330265;Чернігівська;;14030;м.;Чернігів;Деснянський;вулиця;Захисників України;9;;;;14030, Чернігівська обл., місто Чернігів, Деснянський район, ВУЛИЦЯ ЗАХИСНИКІВ УКРАЇНИ, будинок 9;7410136300;UA74100390010122363
528;1330266;Черкаська;;18024;м.;Черкаси;Соснівський;вулиця;Сумгаїтська;24;;;;18024, Черкаська обл., місто Черкаси, Соснівський район, ВУЛИЦЯ СУМГАЇТСЬКА, будинок 24;7110136700;UA71080490010259590
529;1330267;;;3179;м.;Київ;Святошинський;вулиця;Чорнобильська;3;;;;03179, м.Київ, Святошинський район, ВУЛИЦЯ ЧОРНОБИЛЬСЬКА, будинок 3;8038600000;UA80000000000875983
530;1330268;;;2152;м.;Київ;Дніпровський;вулиця;Павла Тичини;15-А;;;;02152, м.Київ, Дніпровський район, ВУЛИЦЯ ПАВЛА ТИЧИНИ, будинок 15-А;8036600000;UA80000000000479391
531;1330269;Запорізька;;69118;м.;Запоріжжя;Комунарський;вулиця;Новокузнецька;41;;;;69118, Запорізька обл., місто Запоріжжя, Комунарський район, ВУЛИЦЯ НОВОКУЗНЕЦЬКА, будинок 41;2310136700;UA23060070010474202
532;1330270;Одеська;;65080;м.;Одеса;Київський;вулиця;Академіка Філатова;1;;;;65080, Одеська обл., місто Одеса, Київський район, ВУЛИЦЯ АКАДЕМІКА ФІЛАТОВА, будинок 1;5110136900;UA51100270010196805
533;1330271;Одеська;Овідіопольський;67801;м.;Овідіополь;;вулиця;Тараса шевченка;228;;;;67801, Одеська обл., Овідіопольський район, селище міського типу Овідіополь, ВУЛИЦЯ ТАРАСА ШЕВЧЕНКА, будинок 228;5123755100;UA51100250000055079
534;1330272;;;2166;м.;Київ;Деснянський;проспект;Лісовий;39;;;;02166, м.Київ, Деснянський район, ПРОСПЕКТ ЛІСОВИЙ, будинок 39;8036400000;UA80000000000336424
535;1330273;Вінницька;;21001;м.;Вінниця;;вулиця;Євгенія Пікуса;1-А;;;;21001, Вінницька обл., місто Вінниця, ВУЛИЦЯ ЄВГЕНІЯ ПІКУСА, будинок 1-А;0510100000;UA05020030000031457
536;1330274;Дніпропетровська;;49125;м.;Дніпро;Амур-Нижньодніпровський;провулок;Крушельницької;6-А;;;;49125, Дніпропетровська обл., місто Дніпро, Амур-Нижньодніпровський район, ПРОВУЛОК КРУШЕЛЬНИЦЬКОЇ, будинок 6-А;1210136300;UA12020010010114149
537;1330275;Львівська;;79008;м.;Львів;Галицький;площа;Старий Ринок;8;;;;79008, Львівська обл., місто Львів, Галицький район, ПЛОЩА СТАРИЙ РИНОК, будинок 8;4610136600;UA46060250010121390
538;1330276;Запорізька;;69120;м.;Запоріжжя;Шевченківський;вулиця;АВРАМЕНКА;6;;;;69120, Запорізька обл., місто Запоріжжя, Шевченківський район, ВУЛИЦЯ АВРАМЕНКА, будинок 6;2310137500;UA23060070010748330
539;1330277;Запорізька;;69068;м.;Запоріжжя;Шевченківський;вулиця;Іванова;1-А;;;;69068, Запорізька обл., місто Запоріжжя, Шевченківський район, ВУЛИЦЯ ІВАНОВА, будинок 1-А;2310137500;UA23060070010748330
540;1330278;Запорізька;;69118;м.;Запоріжжя;Комунарський;вулиця;Новокузнецька;20;;;;69118, Запорізька обл., місто Запоріжжя, Комунарський район, ВУЛИЦЯ НОВОКУЗНЕЦЬКА, будинок 20;2310136700;UA23060070010474202
541;1330279;Дніпропетровська;;49005;м.;Дніпро;Соборний;проспект;Гагаріна;3;;;;49005, Дніпропетровська обл., місто Дніпро, Соборний район, ПРОСПЕКТ ГАГАРІНА, будинок 3;1210136900;UA12020010010512802
542;1330280;Вінницька;;21021;м.;Вінниця;;вулиця;600-річчя;40, приміщення 107;;;;21021, Вінницька обл., м.Вінниця,  вул.600-річчя, 40, приміщення 107;0510100000;UA05020030000031457
543;1330281;Житомирська;;10001;м.;Житомир;Корольовський;майдан;Привокзальний;5;;;;10001, Житомирська обл., місто Житомир, Корольовський район, МАЙДАН ПРИВОКЗАЛЬНИЙ, будинок 5;1810136600;UA18040190010281147
544;1330282;Житомирська;;10025;м.;Житомир;Корольовський;вулиця;Космонавтів;10-А;;;;10025, Житомирська обл., місто Житомир, Корольовський район, ВУЛИЦЯ КОСМОНАВТІВ, будинок 10-А;1810136600;UA18040190010281147
545;1330283;Херсонська;;73043;м.;Херсон;Дніпровський;вулиця;Іллюші Кулика;133;;;;73043, Херсонська обл.  м.Херсон, Дніпровський р-н., вул.Іллюші Кулика, 133;6510136300;UA65100150010123057
546;1330284;Дніпропетровська;Дніпровський;52005;смт.;Слобожанське;;вулиця;ВАСИЛЯ СУХОМЛИНСЬКОГО;78-Б;;;;52005, Дніпропетровська обл., Дніпровський район, селище міського типу Слобожанське, ВУЛИЦЯ ВАСИЛЯ СУХОМЛИНСЬКОГО, будинок 78-Б;1221455800;UA12020250000010438
547;1330285;;;3065;м.;Київ;Солом'янський;бульвар;Вацлава Гавела;18;;;;03065, м.Київ, Солом'янський район, БУЛЬВАР ВАЦЛАВА ГАВЕЛА, будинок 18;8038900000;UA80000000000980793
549;1330287;;;3187;м.;Київ;Голосіївський;проспект;Глушкова;31-А;;;;03187, м.Київ, Голосіївський район, ПРОСПЕКТ ГЛУШКОВА, будинок 31-А;8036100000;UA80000000000126643
550;1330288;;;04079;м.;Київ;Подільський;вулиця;Тираспольська;приміщення 743;;;;04079, м.Київ, Подільський р-н., вул.Тираспольська, 54, приміщення 743;8038500000;UA80000000000719633
551;1330289;Київська;Яготинський;7700;м.;Яготин;;вулиця;Незалежності;130;;;;07700, Київська обл., Яготинський район, місто Яготин, ВУЛИЦЯ НЕЗАЛЕЖНОСТІ, будинок 130;3225510100;UA32040210000086086
552;1330290;;;3148;м.;Київ;Святошинський;вулиця;Володимира Покотила;7/2;;;;03148, м.Київ, Святошинський район, ВУЛИЦЯ ВОЛОДИМИРА ПОКОТИЛА, будинок 7/2;8038600000;UA80000000000875983
553;1330291;;;04073;м.;Київ;Оболонський;проспект;СТЕПАНА БАНДЕРИ;36;;;;04073, м.Київ, Оболонський район, ПРОСПЕКТ СТЕПАНА БАНДЕРИ, будинок 36;8038000000;UA80000000000551439
554;1330292;Миколаївська;;54052;м.;Миколаїв;Корабельний;проспект;Корабелів;14;;;;54052, Миколаївська обл., місто Миколаїв, Корабельний район, ПРОСПЕКТ КОРАБЕЛІВ, будинок 14;4810136600;UA48060150010393291
555;1330293;;;4071;м.;Київ;Подільський;вулиця;Ярославська;56-А;;;;04071, м.Київ, Подільський район, ВУЛИЦЯ ЯРОСЛАВСЬКА, будинок 56-А;8038500000;UA80000000000719633
556;1330294;Київська;;8296;смт.;Ірпінь, смт.Ворзель;;вулиця;Курортна;60;;;;08296, Київська обл., місто Ірпінь, селище міського типу Ворзель, ВУЛИЦЯ КУРОРТНА, будинок 60;3210945600;UA32080070030073716
557;1330295;Київська;Києво-Святошинський;8170;с.;Віта-Поштова;;вулиця;Боярська;4-Б;;;;08170, Київська обл., Києво-Святошинський район, село Віта-Поштова, ВУЛИЦЯ БОЯРСЬКА, будинок 4-Б;3222481201;UA32140050020038278
558;1330296;;;02005;м.;Київ;Дніпровський;вулиця;Каховська;62-А;;;;02005, м.Київ, Дніпровський р-н., вул.Каховська, 62-А;8036600000;UA80000000000479391
559;1330297;Івано-Франківська;Рогатинський;77001;м.;Рогатин;;вулиця;ГАЛИЦЬКА;52;;;;77001, Івано-Франківська обл., Рогатинський район, місто Рогатин, ВУЛИЦЯ ГАЛИЦЬКА, будинок 52;2624410100;UA26040270000047749
560;1330298;Одеська;;65007;м.;Одеса;Приморський;вулиця;МАЛА АРНАУТСЬКА;74;;;;65007, Одеська обл., місто Одеса, Приморський район, ВУЛИЦЯ МАЛА АРНАУТСЬКА, будинок 74;5110137500;UA51100270010320268
561;1330299;Харківська;;61160;м.;Харків;Київський;проспект;Ювілейний;7-А;;;;61160, Харківська  обл., м.Харків, Київський р-н.,  проспект Ювілейний, 7-А;6310136600;UA63120270010216514
562;1330300;Київська;;7403;м.;Бровари;;вулиця;Сергія Москаленка;39;;;;07403, Київська обл., місто Бровари, ВУЛИЦЯ СЕРГІЯ МОСКАЛЕНКА, будинок 39;3210600000;UA32060050000030591
563;1330301;Сумська;;40035;м.;Суми;Зарічний;проспект;Михайла Лушпи;5, корпус 27;;;;40035, Сумська обл., м.Суми, Зарічний р-н., проспект Михайла Лушпи, 5, корпус 27;5910136300;UA59080270010111002
564;1330302;Івано-Франківська;;78593;с.;Поляниця;;;участок Щивки, 1, приміщення 5;;;;;78593, Івано-Франківська обл., м.Яремче, с.Поляниця, участок Щивки, 1, приміщення 5;2611092001;UA26120130010038414
565;1330303;Дніпропетровська;;50042;м.;Кривий Ріг;Покровський;вулиця;Едуарда Фукса;79, приміщення 36;;;;50042, Дніпропетровська обл., м.Кривий Ріг, Покровський р-н., вул.Едуарда Фукса, 79, приміщення 36;1211036600;UA12060170010439451
566;1330304;Дніпропетровська;;50005;м.;Кривий Ріг;Металургійний;вулиця;Тбіліська;4;;;;50005, Дніпропетровська обл., місто Кривий Ріг, Металургійний район, ВУЛИЦЯ ТБІЛІСЬКА, будинок 4;1211036300;UA12060170010378670
567;1330305;;;3151;м.;Київ;Солом'янський;вулиця;Волинська;9/11;;;;03151, м.Київ, Солом'янський район, ВУЛИЦЯ ВОЛИНСЬКА, будинок 9/11;8038900000;UA80000000000980793
568;1330306;Херсонська;;73039;м.;Херсон;Суворовський;проспект;200-річчя Херсона;28-А;;;;73039, Херсонська обл., місто Херсон, Суворовський район, ПРОСПЕКТ 200-РІЧЧЯ ХЕРСОНА, будинок 28-А;6510136900;UA65100150010361097
569;1330307;Херсонська;;73013;м.;Херсон;Суворовський;вулиця;Молодіжна;5;;;;73013, Херсонська обл., місто Херсон, Суворовський район, ВУЛИЦЯ МОЛОДІЖНА, будинок 5;6510136900;UA65100150010361097
570;1330308;Херсонська;;73033;м.;Херсон;Корабельний;вулиця;Лавреньова;12;;;;73033, Херсонська обл., м.Херсон, Корабельний р-н., вул.Лавреньова, 12;6510136600;UA65100150010217771
571;1330309;Херсонська;;73011;м.;Херсон;Корабельний;вулиця;Стрітенська;26-А;;;;73011, Херсонська обл., місто Херсон, Корабельний район, вул. Стрітенська, будинок 26-А;6510136600;UA65100150010217771
572;1330310;Херсонська;;73021;м.;Херсон;Корабельний;вулиця;Патона;15;;;;73021, Херсонська обл., місто Херсон, Корабельний район, ВУЛИЦЯ ПАТОНА, будинок 15;6510136600;UA65100150010217771
573;1330311;Київська;Обухівський;8711;м.;Козин;;вулиця;Обухівське шосе;39;;;;08711, Київська обл., Обухівський район, селище міського типу Козин, ВУЛИЦЯ ОБУХІВСЬКЕ ШОСЕ, будинок 39;3223155400;UA32120070000050717
574;1330312;Вінницька;;21008;м.;Вінниця;;вулиця;Миколаївська;2;;;;21008, Вінницька обл., місто Вінниця, ВУЛИЦЯ МИКОЛАЇВСЬКА, будинок 2;0510100000;UA05020030000031457
575;1330313;Полтавська;;36021;м.;Полтава;Шевченківський;вулиця;Грушевського;11;;;;36021, Полтавська обл., місто Полтава, Шевченківський район, ВУЛИЦЯ ГРУШЕВСЬКОГО, будинок 11;5310137000;UA53080370010339303
576;1330314;Київська;Вишгородський;7301;м.;Вишгород;;вулиця;Ягідна;5-А;;;;07301, Київська обл., Вишгородський район, місто Вишгород, ВУЛИЦЯ ЯГІДНА, будинок 5-А;3221810100;UA32100010000094393
577;1330315;;;2152;м.;Київ;Дніпровський;проспект;Павла Тичини;1-В;;;;02152, м.Київ, Дніпровський район, ПРОСПЕКТ ПАВЛА ТИЧИНИ, будинок 1-В;8036600000;UA80000000000479391
578;1330316;Харківська;;61000;м.;Харків;Слобідський;проспект;Петра Григоренка;25;;;;61000, Харківська обл., місто Харків, Слобідський район, ПРОСПЕКТ ПЕТРА ГРИГОРЕНКА, будинок 25;6310136900;UA63120270010736370
579;1330317;Харківська;;61054;м.;Харків;Московський;вулиця;Академіка Павлова;120;;;;61054, Харківська обл., місто Харків, Московський район, ВУЛИЦЯ АКАДЕМІКА ПАВЛОВА, будинок 120;6310137500;UA63120270010315719
580;1330318;Харківська;;04210;м.;Київ;Оболонський;проспект;ГЕРОЇВ СТАЛІНГРАДА;12-П;;;;04210, м.Київ, Оболонський район, ПРОСПЕКТ ГЕРОЇВ СТАЛІНГРАДА, 12-П;8038000000;UA80000000000551439
581;1330319;Запорізька;;69005;м.;Запоріжжя;Вознесенівський;вулиця;Яценка;2;;;;69005, Запорізька обл., місто Запоріжжя, Вознесенівський район, ВУЛИЦЯ ЯЦЕНКА, будинок 2;2310137200;UA23060070010154443
582;1330320;Харківська;;61007;м.;Харків;Індустріальний;проспект;Архітектора Альошина;2;;;;61007, Харківська обл., м.Харків, Індустріальний р-н.,  проспект Архітектора Альошина, 2;6310138200;UA63120270010158723
583;1330321;Вінницька;Вінницький;23219;с.;Вінницьки Хутори;;вулиця;ЧЕХОВА;9-Г;;;;23219, Вінницька обл., Вінницький район, село Вінницьки Хутори, ВУЛИЦЯ ЧЕХОВА, будинок 29-Г;0520681003;UA05020030040041811
584;1330322;Львівська;;79039;м.;Львів;Шевченківський;вулиця;Шеченка;111;;;;79039, Львівська обл., місто Львів, Шевченківський район, ВУЛИЦЯ ШЕВЧЕНКА, будинок 111;4610137500;UA46060250010615203
585;1330323;Київська;;9108;м.;Біла Церква;;вулиця;Леваневського;26-Д;;;;09108, Київська обл., місто Біла Церква, ВУЛИЦЯ ЛЕВАНЕВСЬКОГО, будинок 26-Д;3210300000;UA32020010000093088
587;1330325;Дніпропетровська;;49130;м.;Дніпро;Індустріальний;проспект;Миру;14-А;;;;49130, Дніпропетровська обл., місто Дніпро, Індустріальний район, ПРОСПЕКТ МИРУ, будинок 14-А;1210137200;UA12020010010231764
588;1330326;Харківська;;63701;м.;Куп'янськ;;площа;Центральна;23;;;;63701, Харківська обл., м.Куп'янськ, площа Центральна, 23;6310700000;UA63080090000067457
589;1330327;Харківська;;61064;м.;Харків;Новобаварський;вулиця;ДУДИНСЬКОЇ;1-А;;;;61064, Харківська обл., місто Харків, Новобаварський район, ВУЛИЦЯ ДУДИНСЬКОЇ, будинок 1-А;6310137900;UA63120270010565081
590;1330328;Дніпропетровська;;51939;м.;Кам'янське;Дніпровський;проспект;Металургів;62;;;;51939, Дніпропетровська обл., місто Кам’янське, Дніпровський район, ПРОСПЕКТ МЕТАЛУРГІВ, будинок 62;1210436600;UA12040150010118924
591;1330329;Дніпропетровська;;50102;м.;Кривий Ріг;Інгулецький;вулиця;Недєліна;43;;;;50102, Дніпропетровська обл., місто Кривий Ріг, Інгулецький район, ВУЛИЦЯ НЕДЄЛІНА, будинок 43;1211036900;UA12060170010270453
592;1330330;;;2088;м.;Київ;Печерський;бульвар;Дружби Народів;16-А;;;;02088, м.Київ, Печерський район, БУЛЬВАР ДРУЖБИ НАРОДІВ, будинок 16-А;8038200000;UA80000000000624772
593;1330331;;;3040;м.;Київ;Голосіївський;вулиця;Васильківська;8;;;;03040, м.Київ, Голосіївський район, ВУЛИЦЯ ВАСИЛЬКІВСЬКА, будинок 8;8036100000;UA80000000000126643
594;1330332;;;4210;м.;Київ;Оболонський;площа;Оболонська;6;;;;04210, м.Київ, Оболонський район, ПЛОЩА ОБОЛОНСЬКА, будинок 6;8038000000;UA80000000000551439
595;1330333;Чернігівська;;14034;м.;Чернігів;Деснянський;вулиця;1 Травня;167-А;;;;14034, Чернігівська обл., місто Чернігів, Деснянський район, ВУЛИЦЯ 1 ТРАВНЯ, будинок 167-А;7410136300;UA74100390010122363
596;1330334;Харківська;;61124;м.;Харків;Слобідський;проспект;Гагаріна;167;;;;61124, Харківська обл., місто Харків, Слобідський район, ПРОСПЕКТ ГАГАРІНА, будинок 167;6310136900;UA63120270010736370
597;1330335;Київська;;7401;м.;Бровари;;вулиця;Київська;4;;;;07401, Київська обл., місто Бровари, ВУЛИЦЯ КИЇВСЬКА, будинок 4;3210600000;UA32060050000030591
598;1330336;Київська;Києво-Святошинський;8132;м.;Вишневе;;вулиця;Святошинська;28-А;;;;08132, Київська обл., Києво-Святошинський район, місто Вишневе, ВУЛИЦЯ СВЯТОШИНСЬКА, будинок 28-А;3222410600;UA32080090000011038
599;1330337;;;2002;м.;Київ;Дніпровський;вулиця;Євгена сверстюка;4/1;;;;02002, м.Київ, Дніпровський район, ВУЛИЦЯ ЄВГЕНА СВЕРСТЮКА, будинок 4/1;8036600000;UA80000000000479391
600;1330338;;;3035;м.;Київ;Солом'янський;вулиця;Кудряшова;20;;;;03035, м.Київ, Солом'янський район, ВУЛИЦЯ КУДРЯШОВА, будинок 20;8038900000;UA80000000000980793
601;1330339;;;2089;м.;Київ;Дніпровський;проспект;Броварський;17;;;;02089, м.Київ, Дніпровський район, ПРОСПЕКТ БРОВАРСЬКИЙ, будинок 17;8036600000;UA80000000000479391
602;1330340;;;2089;м.;Київ;Деснянський;проспект;Броварський;18-Д;;;;02089, м.Київ, Деснянський район, ПРОСПЕКТ БРОВАРСЬКИЙ, будинок 18-Д;8036400000;UA80000000000336424
603;1330341;;;03045;м.;Київ;Голосіївський р-н;вулиця;Новопирогівська;58-А;;;;02140, м.Київ, Голосіївський р-н., вулиця Новопирогівська, 58-А;8036100000;UA80000000000126643
604;1330342;Київська;Броварський;7455;с.;Княжичі;;вулиця;Лагунової;74;;;;07455, Київська обл., Броварський район, село Княжичі, ВУЛИЦЯ ЛАГУНОВОЇ, будинок 74;3221284001;UA32060050020067179
605;1330343;Харківська;;61003;м.;Харків;Основ'янський;вулиця;КОВАЛЬСЬКА;4/6;;;;61003, Харківська обл., місто Харків, Основ'янський район, ВУЛИЦЯ КОВАЛЬСЬКА, будинок 4/6;6310138800;UA63120270010681864
606;1330344;;;01011;м.;Київ;Печерський;площа;Печерська;1;;;;01011, м.Київ, Печерський район, ПЛОЩА ПЕЧЕРСЬКА, будинок 1;8038200000;UA80000000000624772
607;1330345;Миколаївська;;54031;м.;Миколаїв;Інгульський;вулиця;Космонавтів;83-А;;;;54031, Миколаївська обл., м.Миколаїв, Інгульський р-н., вул.Космонавтів, 83-А;4810136900;UA48060150010235917
608;1330346;;;01001;м.;Київ;Шевченківський;майдан;Незалежності, птп№1, сектор "а";;;;;01001, м.Київ, Шевченківський район, МАЙДАН НЕЗАЛЕЖНОСТІ, ПТП №1, СЕКТОР "А";8039100000;UA80000000001078669
609;1330347;;;03189;м.;Київ;Голосіївський;вулиця;КОНЄВА МАРШАЛА;7;;;;03189, м.Київ, Голосіївський район, ВУЛИЦЯ КОНЄВА МАРШАЛА, будинок 7;8036100000;UA80000000000126643
610;1330348;;;3115;м.;Київ;Святошинський;проспект;Перемоги;108;;;;03115, м.Київ, Святошинський район, ПРОСПЕКТ ПЕРЕМОГИ, будинок 108;8038600000;UA80000000000875983
611;1330349;;;01023;м.;Київ;Печерський;площа;Спортивна;2;;;;01023, м.Київ, Печерський район, ПЛОЩА СПОРТИВНА, будинок 2;8038200000;UA80000000000624772
612;1330350;Львівська;;79013;м.;Львів;Франківський;вулиця;Генерала Чупринки;14;;;;79013, Львівська обл., м.Львів, Франківський р-н., вул.Генерала Чупринки, 14;4610136900;UA46060250010515336
613;1330351;Харківська;;61020;м.;Харків;Новобаварський;шосе;Григорівське;88;;;;61020, Харківська обл., місто Харків, Новобаварський район, ГРИГОРІВСЬКЕ ШОСЕ, будинок 88;6310137900;UA63120270010565081
614;1330352;;;3148;м.;Київ;Святошинський;вулиця;Героїв Космосу;4;;;;03148, м.Київ, Святошинський район, ВУЛИЦЯ ГЕРОЇВ КОСМОСУ, будинок 4;8038600000;UA80000000000875983
615;1330353;Одеська;;65110;смт.;Авангард;;;10 масив;206;;;;65110, Одеська обл., смт.Авангард, 10 масив, 206;5123755200;UA51100010000023950
616;1330354;;;4050;м.;Київ;Шевченківський;вулиця;Миколи Пимоненка;13;;;;04050, м.Київ, Шевченківський район, ВУЛИЦЯ МИКОЛИ ПИМОНЕНКА, будинок 13;8039100000;UA80000000001078669
617;1330355;Одеська;;68004;м.;Чорноморськ;;вулиця;Парусна;7/159;;;;68004, Одеська обл., місто Чорноморськ, ВУЛИЦЯ ПАРУСНА, будинок 7/159;5110800000;UA51100370000040590
618;1330356;Одеська;;65016;м.;Одеса;Приморський;вулиця;ФОНТАНСЬКА ДОРОГА;58/1, приміщення 16;;;;65016, Одеська обл., місто Одеса, Приморський район, ВУЛИЦЯ ФОНТАНСЬКА ДОРОГА, будинок 58/1, приміщення 16;5110137500;UA51100270010320268
619;1330357;;;02055;м.;Київ;Дарницький;проспект;Петра Григоренка;5-А, приміщення 3-А;;;;02055, м.Київ, Дарницький р-н., проспект Петра Григоренка, 5-А, приміщення 3-А;8036300000;UA80000000000210193
620;1330358;Сумська;;40035;м.;Суми;Зарічний;вулиця;Харківська;ХАРКІВСЬКА;;;;40035, Сумська обл., місто Суми, Зарічний район, ВУЛИЦЯ ХАРКІВСЬКА, будинок 2/2;5910136300;UA59080270010111002
621;1330359;Тернопільська;;46027;м.;Тернопіль;;вулиця;Максима Кривоноса;2-Б;;;;46027, Тернопільська обл., місто Тернопіль, ВУЛИЦЯ МАКСИМА КРИВОНОСА, будинок 2-Б;6110100000;UA61040490000035010
622;1330360;Хмельницька;;29019;м.;Хмельницький;;вулиця;Степана Бандери;2-А;;;;29019, Хмельницька обл., місто Хмельницький, ВУЛИЦЯ СТЕПАНА БАНДЕРИ, будинок 2-А;6810100000;UA68040470000053519
623;1330361;;;2156;м.;Київ;Деснянський;вулиця;Матеюка;15;;;;02156, м.Київ, Деснянський район, ВУЛИЦЯ МАТЕЮКА, будинок 15;8036400000;UA80000000000336424
624;1330362;Житомирська;;13301;м.;Бердичів;;вулиця;Вінницька;18;;;;13301, Житомирська обл., місто Бердичів, ВУЛИЦЯ ВІННИЦЬКА, будинок 18;1810400000;UA18020030000035625
625;1330363;Тернопільська;;48501;м.;Чортків;;вулиця;Шевченка;13;;;;48501, Тернопільська обл., місто Чортків, ВУЛИЦЯ ШЕВЧЕНКА, будинок 13;6110300000;UA61060430000094264
626;1330364;Полтавська;;36034;м.;Полтава;Київський;вулиця;ПОЛОВКИ;72;;;;36034, Полтавська обл., місто Полтава, Київський район, ВУЛИЦЯ ПОЛОВКИ, будинок 72;5310136400;UA53080370010183642
627;1330365;Одеська;;65123;м.;Одеса;Суворовський;вулиця;Марсельська;35-Б;;;;65123, Одеська обл., місто Одеса, Суворовський район, ВУЛИЦЯ МАРСЕЛЬСЬКА, будинок 35-Б;5110137600;UA51100270010413116
628;1330366;Одеська;;65088;м.;Одеса;Київський;вулиця;Люстдорфська дорога;140/1;;;;65088, Одеська обл., місто Одеса, Київський район, ВУЛИЦЯ ЛЮСТДОРФСЬКА ДОРОГА, будинок 140/1;5110136900;UA51100270010196805
629;1330367;Одеська;;65114;м.;Одеса;Київський;проспект;Небесної сотні;47/3;;;;65114, Одеська обл., місто Одеса, Київський р-н., пр-т. Небесної Сотні будинок 47/3;5110136900;UA51100270010196805
630;1330368;Тернопільська;;80001;м.;Тернопіль;;вулиця;Євгена Коновальця;5/185;;;;46020, Тернопільська обл., м.Тернопіль, вул.Євгена Коновальця, 5/185;6110100000;UA61040490000035010
631;1330369;Херсонська;Генічеський;75500;м.;Генічеськ;;вулиця;ЦЕНТРАЛЬНА;58;;;;75500, Херсонська обл., Генічеський район, місто Генічеськ, ВУЛИЦЯ ЦЕНТРАЛЬНА, будинок 58;6522110100;UA65040010000061104
632;1330370;Херсонська;Генічеський;75500;м.;Генічеськ;;вулиця;Дружби Народів;87;;;;75500, Херсонська обл., Генічеський район, місто Генічеськ, ВУЛИЦЯ ДРУЖБИ НАРОДІВ, будинок 87;6522110100;UA65040010000061104
633;1330371;;;04073;м.;Київ;Оболонський;вулиця;Вербова;17-В;;;;04073, м.Київ, Оболонський р-н., вул.Вербова, 17-В;8038000000;UA80000000000551439
634;1330372;Миколаївська;;54025;м.;Миколаїв;Центральний;проспект;Героїв України;13;;;;54025, Миколаївська обл., місто Миколаїв, Центральний район, ПРОСПЕКТ ГЕРОЇВ УКРАЇНИ, будинок 13;4810137200;UA48060150010443183
635;1330373;Миколаївська;;54001;м.;Миколаїв;Центральний;вулиця;Потьомкінська;100-А;;;;54001, Миколаївська обл., місто Миколаїв, Центральний район, ВУЛИЦЯ ПОТЬОМКІНСЬКА, будинок 100-А;4810137200;UA48060150010443183
636;1330374;Дніпропетровська;;49005;м.;Дніпро;Соборний;проспект;Гагаріна;8-А;;;;49005, Дніпропетровська обл., місто Дніпро, Соборний район, ПРОСПЕКТ ГАГАРІНА, будинок 8-А;1210136900;UA12020010010512802
637;1330375;Київська;Вишгородський;07302;м.;Вишгород;;вулиця;Набережна;6-Г;;;;07302, Київська обл., Вишгородський район, місто Вишгород, ВУЛИЦЯ НАБЕРЕЖНА , будинок 6-Г;3221810100;UA32100010000094393
638;1330376;Донецька;;84300;м.;Краматорськ;;вулиця;ПАРКОВА;26;;;;84300, Донецька обл., місто Краматорськ, ВУЛИЦЯ ПАРКОВА, будинок 26;1412900000;UA14120090000098500
639;1330377;Київська;Богуславський;9701;м.;Богуслав;;вулиця;Тараса Шевченка;24;;;;09701, Київська обл., Богуславський район, місто Богуслав, ВУЛИЦЯ ТАРАСА ШЕВЧЕНКА, будинок 24;3220610100;UA32120010000062762
640;1330378;Київська;Києво-Святошинський;8134;м.;Вишневе;;вулиця;Першотравнева;7;;;;08134, Київська обл., Києво-Святошинський район, місто Вишневе, ВУЛИЦЯ ПЕРШОТРАВНЕВА, будинок 7;3222410600;UA32080090000011038
641;1330379;Миколаївська;;54034;м.;Миколаїв;Інгульський;проспект;Миру;1;;;;54034, Миколаївська обл. м.Миколаїв, Інгульський р-н., проспект Миру, 1;4810136900;UA48060150010235917
642;1330380;Донецька;;84100;м.;Слов'янськ;;вулиця;Вокзальна;10;;;;84100, Донецька обл., місто Слов'янськ, ВУЛИЦЯ ВОКЗАЛЬНА, будинок 10;1414100000;UA14120210000056793
643;1330381;Чернігівська;;14037;м.;Чернігів;Новозаводський;проспект;Миру;118;;;;14037, Чернігівська обл., м.Чернігів, Новозаводський р-н., проспект Миру, 118;7410136600;UA74100390010268220
644;1330382;Чернігівська;;17507;м.;Прилуки;;вулиця;Київська;156;;;;17507, Чернігівська обл., місто Прилуки, ВУЛИЦЯ КИЇВСЬКА, будинок 156;7410700000;UA74080130000060606
645;1330383;Чернігівська;;16608;м.;Ніжин;;вулиця;Московська;12;;;;16608, Чернігівська обл., місто Ніжин, ВУЛИЦЯ МОСКОВСЬКА, будинок 12;7410400000;UA74040250000063494
646;1330384;;;2130;м.;Київ;Дніпровський;бульвар;Перова;14;;;;02130, м.Київ, Дніпровський район, БУЛЬВАР ПЕРОВА, будинок 14;8036600000;UA80000000000479391
647;1330385;Львівська;;79040;м.;Львів;Шевченківський;вулиця;ГОРОДОЦЬКА;355/4;;;;79040, Львівська обл., місто Львів, Шевченківський район, ВУЛИЦЯ ГОРОДОЦЬКА, будинок 355/4;4610137500;UA46060250010615203
648;1330386;Львівська;;79049;м.;Львів;Сихівський;вулиця;Коломийська;2;;;;79049, Львівська обл., місто Львів, Сихівський район, ВУЛИЦЯ КОЛОМИЙСЬКА, будинок 2;4610136800;UA46060250010457177
649;1330387;Львівська;;79022;м.;Львів;Залізничний;вулиця;Виговського;1;;;;79022, Львівська обл., місто Львів, Залізничний район, ВУЛИЦЯ ВИГОВСЬКОГО, будинок 1;4610136300;UA46060250010259421
