department;region;district_region;district_city;city_type;city;street;street_type;hous;post_index;partner;status;register;edrpou;address;partner name;id_terminal;koatu;tax_id;koatu2
1010197;Хмельницька;;;м.;Нетішин;ШЕВЧЕНКА;вулиця;26;30100;delivery;;72/02/05 від 15.02.2021;;30100, Хмельницька обл., м.Нетішин, вул.Шевченка, 26;;;6810500000;15802330;
1010198;Вінницька;Тульчинський;;м.;Тульчин;Петра Захарова;вулиця;36;23600;delivery;;72/02/05 від 15.02.2021;;23600, Вінницька обл., Тульчинський р-н., м.Тульчин, вул.Петра Захарова, 36;;;0524310100;15802331;
1010199;Харківська;Зміївський;;смт.;Слобожанське;Балаклійське шосе;;8;63460;delivery;;72/02/05 від 15.02.2021;;63460, Харківська обл., Зміївський р-н., смт.Слобожанське, Балаклійське шосе, 8;;;6321755600;15802332;
1010200;Київська;Києво-Святошинський;;смт.;Чабани;Машинобудівників;вулиця;1;08162;delivery;;110/02/05 від 26.02.2021;;08162, Київська обл., Києво-Святошинський р-н., смт.Чабани, вул.Машинобудівників, 1;;;3222457400;15802334;
1010201;Чернігівська;Бахмацький;;м.;Бахмач;Богомольця;вулиця;2;16500;delivery;;110/02/05 від 26.02.2021;;16500, Чернігівська обл., Бахмацький р-н., м.Бахмач, вул.Богомольця, 2;;;7420310100;15802335;
1010202;Полтавська;Глобинський;;м.;Глобине;Виноградна;вулиця;3-А;39000;delivery;;118/03/05 від 02.03.2021;;39000, Полтавська  обл., Глобинський р-н., м. Глобине, вул. Виноградна, 3-А;;;5320610100;15802336;
1010203;Дніпропетровська;;Амур-Нижньодніпровський;м.;Дніпро;Каруни;вулиця;75;49024;delivery;;118/03/05 від 02.03.2021;;49024, Дніпропетровська  обл., м.Дніпро, Амур-Нижньодніпровський р-н., вул.Каруни, 75;;;1210136300;15802337;
1010204;Харківська;;;м.;Ізюм;Гостинна;вулиця;2;64305;delivery;;118/03/05 від 02.03.2021;;64305, Харківська  обл.,  м.Ізюм, вул.Гостинна, 2;;;6310400000;15802338;
1010205;Дніпропетровська;;;м.;Кам`янське;Цегляний;провулок;19;51909;delivery;;118/03/05 від 02.03.2021;;51909, Дніпропетровська  обл., м.Кам`янське, провулок Цегляний, 19;;;1210400000;15802339;
1010206;Хмельницька;;;м.;Хмельницький;Курчатова;вулиця;117-А;29025;delivery;;118/03/05 від 02.03.2021;;29025, Хмельницька  обл., м.Хмельницький, вул.Курчатова 117-А;;;6810100000;15802340;
1010207;Дніпропетровська;;;м.;Новомосковськ;Микити Головка;вулиця;12;51206;delivery;;118/03/05 від 02.03.2021;;51206, Дніпропетровська  обл., м.Новомосковськ, вул.Микити Головка , 12;;;1211900000;15802341;
1010208;Полтавська;;Шевченківський;м.;Полтава;Комарова;вулиця;5;36008;delivery;;118/03/05 від 02.03.2021;;36008, Полтавська  обл., м.Полтава, Шевченківський р-н., вул.Комарова, 5;;226a3c12-0b2c-e311-8b0d-00155d037960;5310100000;15802342;
1010209;Одеська;;;м.;Чорноморськ;Транспортна;вулиця;14;68001;delivery;;118/03/05 від 02.03.2021;;68001, Одеська  обл., м.Чорноморськ, вул.Транспортна, 14;;;5110800000;15802343;
1010210;Волинська;Шацький;;м.;Шацьк;50 років Перемоги;вулиця;6;44000;delivery;;118/03/05 від 02.03.2021;;44000, Волинська  обл., Шацький р-н., м.Шацьк, вул.50 років Перемоги, 6;;;0725755100;15802344;
1010211;Харківська;;Слобідський;м.;Харків;Польова;вулиця;83;61001;delivery;;183/04/05 від 05.04.2021;;61001, Харківська обл., м.Харків, Слобідський р-н., вул.Польова, 83;;;6310136900;15802346;
1010212;Вінницька;;;м.;Хмільник;Монастирська;вулиця;8-А;22000;delivery;;183/04/05 від 05.04.2021;;22000, Вінницька обл., м. Хмільник, вул.Монастирська, 8-А;;;0510900000;15802347;
1010213;Івано-Франківська;;;м.;Коломия;Симоненка;вулиця;1-Г;78208;delivery;;573/09/05 від 20.09.2021;;78208, Івано-Франківська обл., м.Коломия, вул.Симоненка, 1-Г;;;2610600000;15802348;
1010214;Київська;;;м.;Славутич;Чернігівська;вулиця;10;07101;delivery;;183/04/05 від 05.04.2021;;07101, Київська обл., м.Славутич, вул.Чернігівська, 10;;;3211500000;15802349;
1010215;Дніпропетровська;;Амур-Нижньодніпровський;м.;Дніпро;Любарського;вулиця;159;49098;delivery;;183/04/05 від 05.04.2021;;49098, Дніпропетровська обл., м.Дніпро, Амур-Нижньодніпровський р-н., вул.Любарського, 159;;;1210136300;15802350;
1010216;Черкаська;Чигиринський;;м.;Чигирин;Грушевського;вулиця;16-А;20901;delivery;;183/04/05 від 05.04.2021;;20901, Черкаська обл., Чигиринський р-н., м.Чигирин, вул.Грушевського, 16-А;;;7125410100;15802351;
1010217;Полтавська;;;м.;Пирятин;Ярмаркова;вулиця;28;37000;delivery;;183/04/05 від 05.04.2021;;37000, Полтавська обл., Пирятинський р-н., м.Пирятин, вул.Ярмаркова, 28;;;5323810100;15802352;
1010218;Одеська;;;м.;Подільськ;Успенська;вулиця;14-А;66302;delivery;;183/04/05 від 05.04.2021;;66302, Одеська обл., м.Подільськ, вул.Успенська, 14-А;;;5111200000;15802353;
1010219;Миколаївська;;;м.;Первомайськ;Вокзальна;вулиця;34;55213;delivery;;183/04/05 від 05.04.2021;;55213, Миколаївська обл., м.Первомайськ, вул.Вокзальна, 34;;;4810400000;15802354;
1010220;Херсонська;;Корабельний;м.;Херсон;Робоча;вулиця;82-А;73034;delivery;;183/04/05 від 05.04.2021;;73034, Херсонська обл., м.Херсон, Корабельний р-н., вул.Робоча, 82-А;;;6510136600;15802355;
1010221;Івано-Франківська;Городенківський;;м.;Городенка;Затишна;вулиця;36;78103;delivery;;209/04/05 від 20.04.2021;;78103, Івано-Франківська обл., Городенківський р-н.,м.Городенка, вул.Затишна, 36;;;2621610100;15802358;
1010222;Тернопільська;Шумський;;м.;Шумськ;Вілійська;вулиця;6-Г;47101;delivery;;209/04/05 від 20.04.2021;;47101, Тернопільська обл., Шумський р-н., м.Шумськ, вул. Вілійська, 6-Г;;;6125810100;15802359;
1010223;Донецька;;;м.;Бахмут;Різдвяна;вулиця;27;84511;delivery;1410300000;209/04/05 від 20.04.2021;;84511, Донецька обл., м.Бахмут, вул.Різдвяна, 27;;;1410300000;15802360;
1010224;Київська;Макарівський;;м.;Макарів;Гагаріна;вулиця;8;08001;delivery;;209/04/05 від 20.04.2021;;08001, Київська обл., Макарівський р-н., м.Макарів, вул.Гагаріна, 8;;;3222755100;15802361;
1010225;Запорізька;Оріхівський;;м.;Оріхів;Марії Сокіл;вулиця;28;70504;delivery;;209/04/05 від 20.04.2021;;70504, Запорізька обл., Оріхівський р-н., м.Оріхів, вул.Марії Сокіл, 28;;;2323910100;15802362;
1010226;Харківська;;Холодногірський;м.;Харків;Кононенка;вулиця;ряд 21-А, місце 7;61000;delivery;;246/05/05 від 05.05.2021;;61000, Харківська обл., м.Харків, Холодногірський р-н., вул.Кононенка, ряд 21-А, місце 7;;;6310137200;15802367;
1010227;Житомирська;Бердичівський;;м.;Бердичів;ПРИВОКЗАЛЬНА;вулиця;3;13306;delivery;;246/05/05 від 05.05.2021;;13306, Житомирська обл., Бердичівський р-н., м.Бердичів, вул.Привокзальна, 3;;;1810400000;15802368;
1010228;Вінницька;;;м.;Ямпіль;Богдана Хмельницького;вулиця;44/84;;delivery;;246/05/05 від 05.05.2021;;Вінницька обл., Ямпільський р-н. м.Ямпіль, вулиця Богдана Хмельницького, 44/84;;;4810136900;15802369;
1010229;Київська;Фастівський;;смт.;Калинівка;Залізнична;вулиця;164;08623;delivery;;246/05/05 від 05.05.2021;;08623, Київська обл., Фастівський  р-н., смт.Калинівка, вул.Залізнична, 164;;;3221455800;15802370;
1010230;Дніпропетровська;Нікопольський;;м.;Марганець;Кленова;вулиця;12-А;53407;delivery;;246/05/05 від 05.05.2021;;53407, Дніпропетровська обл., Нікопольський р-н., м.Марганець, вул.Кленова, 12-А;;;1211300000;15802371;
1010231;Дніпропетровська;;Дніпровський;м.;Кам`янське;Наддніпрянський;проспект;1-Б;51937;delivery;;246/05/05 від 05.05.2021;;51937, Дніпропетровська обл., м.Кам`янське, Дніпровський р-н.,  проспект Наддніпрянський, 1-Б;;;1210436600;15802372;
1010232;Полтавська;Миргородський;;м.;Миргород;Данила Апостола;вулиця;38;37600;delivery;;246/05/05 від 05.05.2021;;37600, Полтавська обл., Миргородський р-н., м.Миргород, вул.Данила Апостола, 38;;;5310900000;15802373;
1010233;Чернігівська;;Деснянський;м.;Чернігів;Боднарука;вулиця;28;14013;delivery;;246/05/05 від 05.05.2021;;14013, Чернігівська обл., м.Чернігів, Деснянський р-н., вул.Любомира Боднарука, 28;;;7410136300;15802374;
1010234;Одеська;Болградський;;м.;Болград;СОБОРНИЙ;проспект;108;68702;delivery;;246/05/05 від 05.05.2021;;68702, Одеська обл., Болградський р-н., м.Болград, проспект Соборний, 108;;;5121410100;15802375;
1010235;Одеська;Роздільнянський;;м.;Роздільна;Європейська;вулиця;52;67400;delivery;;246/05/05 від 05.05.2021;;67400, Одеська обл., Роздільнянський р-н., м.Роздільна, вул.Європейська, 52;;;5123910100;15802376;
1010236;Житомирська;Житомирський;;м.;Коростишів;Героїв Небесної Сотні;вулиця;68;12501;delivery;;246/05/05 від 05.05.2021;;12501, Житомирська обл., Житомирський  р-н., м.Коростишів, вул.Героїв небесної сотні, 68;;;1822510100;15802377;
1010237;Донецька;;;м.;Краматорськ;Ювілейна;вулиця;70;84331;delivery;;246/05/05 від 05.05.2021;;84331, Донецька обл., м.Краматорськ, вул.Ювілейна, 70;;;1412900000;15802378;
1010238;Львівська;Мостиський;;м.;Мостиська;Зелена;вулиця;7-А;81300;delivery;;259/05/05 від 17.05.2021;;81300, Львівська обл., Мостиський р-н., м.Мостиська, вул.Зелена 7-А;;;4622410100;15802379;
1010239;Львівська;Пустомитівський;;м.;Пустомити;Грушевського;вулиця;92;81100;delivery;;259/05/05 від 17.05.2021;;81100, Львівська обл., Пустомитівський р-н., м.Пустомити, вул.Грушевського, 92;;;4623610100;15802380;
1010240;Полтавська;Диканський;;смт.;Диканька;Незалежності;вулиця;58/1;38500;delivery;;259/05/05 від 17.05.2021;;38500, Полтавська обл., Диканський р-н., смт.Диканька, вул.Незалежності, 58/1;;;5321055100;15802381;
1010241;Одеська;Саратський;;смт.;Сарата;Чкалова;вулиця;50/1;68200;delivery;;259/05/05 від 17.05.2021;;68200, Одеська обл., Саратський р-н., смт.Сарата, вул.Чкалова, 50/1;;;5124555100;15802382;
1010242;Харківська;Харківська;;м.;Мерефа;Дніпропетровська;вулиця;238;62400;delivery;;259/05/05 від 17.05.2021;;62400, Харківська обл., Харківський р-н., м.Мерефа, вул.Дніпропетровська, 238;;;6325110700;15802383;
1010243;Львівська;Львівський;;м.;Кам`янка-Бузька;Генерала Чупринки;вулиця;15;80400;delivery;;259/05/05 від 17.05.2021;;80400, Львівська обл., Львівський р-н.,  м.Кам`янка-Бузька, вул.Генерала Чупринки, 15;;;4622110100;15802384;
1010244;Львівська;Золочівський;;м.;Золочів;Труша;вулиця;2-А;80700;delivery;;259/05/05 від 17.05.2021;;80700, Львівська обл., Золочівський р-н., м.Золочів, вул.Труша, 2-А;;;4621810100;15802385;
1010245;Донецька;;;м.;Дружківка;Чайковського;вулиця;12;84205;delivery;;308/06/05 від 02.06.2021;;84205, Донецька обл., м. Дружківка, вул. Чайковського, 12;;;1411700000;15802389;
1010246;Хмельницька;Шепетівський;;м.;Шепетівка;Героїв Небесної Сотні;вулиця;78;30405;delivery;;308/06/05 від 02.06.2021;;30405, Хмельницька обл., Шепетівський р-н., м.Шепетівка, вул.Героїв Небесної Сотні, 78;;;6810700000;15802390;
1010247;Львівська;Львівський;;с.;Малехів;ім.Тараса Козака;вулиця;20;80383;delivery;;308/06/05 від 02.06.2021;;80383,  Львівська обл., Львівський р-н., с.Малехів, вул. ім.Тараса Козака, 20;;;4622785701;15802391;
1010248;Рівненська;Рівненський;;смт.;Клевань;Залізнична;вулиця;4-Г;35312;delivery;;308/06/05 від 02.06.2021;;35312, Рівненська обл., Рівненський р-н., смт.Клевань, вул.Залізнична, 4-Г;;;5624655400;15802392;
1010249;Дніпропетровська;Кам`янський;;м.;Жовті Води;Заводська;вулиця;1/1;50019;delivery;;308/06/05 від 02.06.2021;;50019, Дніпропетровська обл., Кам`янський р-н., м.Жовті Води, вул.Заводська, 1/1;;;1210700000;15802393;
1010250;Дніпропетровська;;;м.;Вільногірськ;Степова;вулиця;9;51700;delivery;;308/06/05 від 02.06.2021;;51700, Дніпропетровська обл., м.Вільногірськ, вул.Степова, 9;;;1210200000;15802394;
1010251;Одеська;;Малиновський;м.;Одеса;Шота Руставелі;вулиця;7;65074;delivery;;308/06/05 від 02.06.2021;;65074, Одеська обл., м.Одеса, Малиновський р-н., вул.Шота Руставелі, 7;;;5110137300;15802395;
1010252;Херсонська;;Дніпровський;м.;Херсон;Янтарний;провулок;1;73485;delivery;;308/06/05 від 02.06.2021;;73485, Херсонська обл., м.Херсон, Дніпровський р-н., провулок Янтарний, 1;;;6510136300;15802396;
1010253;Донецька;;;м.;Слов`янськ;Центральна;вулиця;65;84122;delivery;;308/06/05 від 02.06.2021;;84122, Донецька обл., м.Слов`янськ, вул.Центральна, 65;;;1414100000;15802397;
1010254;Житомирська;Коростенський;;м.;Овруч;Рєпкіна;вулиця;14;11104;delivery;;308/06/05 від 02.06.2021;;11104, Житомирська обл., Коростенський р-н., м.Овруч, вул.Рєпкіна, 14;;;1824210100;15802398;
1010255;Львівська;Дрогобицький;;м.;Борислав;ДРОГОБИЦЬКА;вулиця;7;82300;delivery;;308/06/05 від 02.06.2021;;82300, Львівська обл., Дрогобицький р-н., м.Борислав, вул.Дрогобицька,7;;;4610300000;15802399;
1010256;Одеська;Ананьївський;;м.;Ананьїв;Нищинського;вулиця;1;66401;delivery;;308/06/05 від 02.06.2021;;66401, Одеська обл., Ананьївський р-н., м.Ананьїв, вул.Нищинського, 1;;;5120210100;15802400;
1010257;Луганська;Старобільський;;смт.;Біловодськ;Центральна;вулиця;206-А;92801;delivery;;308/06/05 від 02.06.2021;;92801, Луганська обл., Старобільський р-н., смт.Біловодськ, вул.Центральна, 206-А;;;4420655100;15802401;
1010258;Київська;Бучанський;;смт.;Гостомель;Свято-Покровська;вулиця;108-А;08290;delivery;;340/06/05 від 14.06.2021;;08290, Київська обл., Бучанський р-н., смт.Гостомель, вул.Свято-Покровська, 108-А;ГОСТОМЕЛЬ;;3210945900;15802402;
1010259;Вінницька;;;м.;Козятин;Пилипа Орлика;вулиця;12;22100;delivery;;340/06/05 від 14.06.2021;;22100, Вінницька обл., м.Козятин, вул.Пилипа Орлика, 12;КОЗЯТИН;;0510500000;15802403;
1010260;Київська;Білоцерківський;;м.;Тетіїв;ЦЕНТРАЛЬНА;вулиця;47;09801;delivery;;340/06/05 від 14.06.2021;;09801, Київська обл., Білоцерківський р-н., м.Тетіїв, вул.Центральна, 47;ТЕТІЇВ;;3224610100;15802404;
1010261;Херсонська;Скадовський;;м.;Гола Пристань;1-го Травня;вулиця;29-А;75600;delivery;;355/06/05 від 22.06.2021;;75600, Херсонська обл., Скадовський р-н., м.Гола Пристань, вул.1-го Травня, 29-А;;;6510300000;15802405;
1010262;Тернопільська;Чортківський;;м.;Заліщики;Стефаника;вулиця;26;48601;delivery;;355/06/05 від 22.06.2021;;48601, Тернопільська обл., Чортківський -р-н., м.Заліщики, вул.Стефаника, 26;;;6122010100;15802406;
1010263;Львівська;Яворівський;;м.;Івано-Франкове;Львівська;вулиця;55;81070;delivery;;355/06/05 від 22.06.2021;;81070, Львівська обл., Яворівський -р-н., м.Івано-Франкове, вул.Львівська, 55;;;4625855300;15802407;
1010264;Івано-Франківська;Косівський;;м.;Косів;Грушевського, 1;вулиця;1;78601;delivery;;355/06/05 від 22.06.2021;;78601, Івано-Франківська обл., Косівський р-н., м.Косів, вул.Грушевського, 1;;;2623610100;15802408;
1010265;Житомирська;Новоград-Волинський;;м.;Баранівка;Першотравнева;вулиця;17;12701;delivery;;355/06/05 від 22.06.2021;;12701, Житомирська обл., Новоград-Волинський р-н., м.Баранівка, вул.Першотравнева, 17;;;1820610100;15802409;
1010266;Рівненська;Рівненський;;м.;Березне;Зірненська;вулиця;24/287;34600;delivery;;355/06/05 від 22.06.2021;;34600, Рівненська обл., Рівненський -р-н., м.Березне, вул.Зірненська, 24/287;;;5620410100;15802410;
1010267;Харківська;;Київський;м.;Харків;Ринок Барабашова (6), павільон С-011-21;;;61054;delivery;;355/06/05 від 22.06.2021;;61054, Харківська обл., м.Харків, Київський р-н., Ринок Барабашова (6), павільон С-011-21;;;6310136600;15802411;
1010268;Донецька;Покровський;;м.;Добропілля;Фестивальна;вулиця;5;85001;delivery;;426/07/05 від 19.07.2021;;85001, Донецька обл., Покровський р-н., м.Добропілля, вул.Фестивальна, 5;;;1411500000;15802412;
1010269;Донецька;Волноваський;;м.;Вугледар;Шахтарська;вулиця;3;85670;delivery;;426/07/05 від 19.07.2021;;85670, Донецька обл., Волноваський р-н., м.Вугледар, вул.Шахтарська,3;;;1414800000;15802413;
1010270;Луганська;Сватівський;;м.;Сватове;Дружби;вулиця;12;92603;delivery;;426/07/05 від 19.07.2021;;92603, Луганська обл., Сватівський р-н., м.Сватове, вул.Дружби, 12;;;4424010100;15802414;
1010271;Вінницька;;;м.;Вінниця;Максимовича;вулиця;33;21036;delivery;;426/07/05 від 19.07.2021;;21036, Вінницька обл., м.Вінниця, вул.Максимовича, 33;;;0510100000;15802415;
1010272;Харківська;Чугуївський;;м.;Чугуїв;Жадановського;вулиця;13;63503;delivery;;426/07/05 від 19.07.2021;;63503, Харківська обл, Чугуївський р-н., м.Чугуїв, вул.Жадановського,13;;;6312000000;15802416;
1010273;Київська;Фастівський;;м.;Фастів;Київська;вулиця;34;08500;delivery;;426/07/05 від 19.07.2021;;08500, Київська обл., Фастівський р-н., м.Фастів, вул.Київська, 34;;;3211200000;15802417;
1010274;Дніпропетровська;;Центрально-Міський;м.;Кривий Ріг;Купріна;вулиця;116-Д;50019;delivery;;426/07/05 від 19.07.2021;;50019, Дніпропетровська обл., м.Кривий Ріг, Центрально-Міський р-н., вул.Купріна, 116-Д;;;1211037500;15802418;
1010275;Дніпропетровська;Нікопольський;;м.;Покров;ЧЕХОВА;вулиця;2;53304;delivery;;426/07/05 від 19.07.2021;;53304, Дніпропетровська обл., Нікопольський р-н., м.Покров, вул.Чехова, 2;;;1212100000;15802419;
1010276;Одеська;Ізмаїльський;;м.;Рені;Спортивна;вулиця;11а;68803;delivery;;426/07/05 від 19.07.2021;;68803, Одеська обл., Ізмаїльський р-н. м.Рені, вул.Спортивна, 11-А;;;5124110100;15802420;
1010277;Сумська;Сумський;;смт.;Краснопілля;Вокзальна;вулиця;46;42400;delivery;;426/07/05 від 19.07.2021;;42400, Сумська обл., Сумський р-н., смт.Краснопілля, вул.Вокзальна, 46;;;5922355100;15802421;
1010278;Дніпропетровська;Дніпровський;;смт.;Солоне;ГАГАРІНА;вулиця;29-А;52400;delivery;;426/07/05 від 19.07.2021;;52400, Дніпропетровська обл., Дніпровський р-н. смт.Солоне, вул.Гагаріна, 29-А;;;1225055100;15802422;
1010279;Дніпропетровська;;Новокодацький;м.;Дніпро;Мічуріна;вулиця;4;49064;delivery;;426/07/05 від 19.07.2021;;49064, Дніпропетровська обл., м.Дніпро, Новокодацький р-н., вул.Мічуріна, 4;;;1210138100;15802423;
1010280;Миколаївська;Баштанський;;м.;Новий Буг;Грушевського;вулиця;20;55601;delivery;;426/07/05 від 19.07.2021;;55601, Миколаївська обл., Баштанський р-н.  м.Новий Буг, вул.Грушевського, 20;;;4824510100;15802424;
1010281;Черкаська;Уманський;;м.;Монастирище;Дружби;вулиця;36;19101;delivery;;426/07/05 від 19.07.2021;;19101, Черкаська обл., Уманський р-н., м.Монастирище, вул.Дружби, 36;;;7123410100;15802425;
1010282;Івано-Франківська;Верховинський;;смт.;Верховина;Гуцульського повстання;вулиця;13;78701;delivery;;434/07/05 від 21.07.2021;;78701, Івано-Франківська обл., Верховинський р-н., смт.Верховина, вул.Гуцульського повстання, 13;;;2620855100;15802426;
1010283;Закарпатська;Хустський;;м.;Іршава;Федорова;вулиця;29/2;90100;delivery;;434/07/05 від 21.07.2021;;90100, Закарпатська обл., Хустський р-н., м.Іршава, вул.Федорова, 29/2;;;2121910100;15802427;
1010284;Одеська;;Малиновський;м.;Одеса;Бугаївська;вулиця;41-А;65005;delivery;;475/08/05 від 09.08.2021;;65005, Одеська обл., м.Одеса, Малиновський р-н., вул.Бугаївська, 41-А;;;5110137300;15802428;
1010285;Вінницька;Гайсинський;;м.;Ладижин;Піонерська;вулиця;29;24321;delivery;;475/08/05 від 09.08.2021;;24321, Вінницька обл., Гайсинський р-н., м.Ладижин, вул.Піонерська, 29;;;0510600000;15802429;
1010286;Рівненська;Рівненський;;м.;Здолбунів;Пушкіна;вулиця;1;35705;delivery;;475/08/05 від 09.08.2021;;35705, Рівненська обл., Рівненський р-н., м.Здолбунів, вул.Пушкіна, 1;;;5622610100;15802430;
1010287;Полтавська;Лубенський;;м.;Хорол;ШЕВЧЕНКА;вулиця;34;37800;delivery;;475/08/05 від 09.08.2021;;37800, Полтавська обл., Лубенський р-н., м.Хорол, вул.Шевченка, 34;;;5324810100;15802431;
1010288;Полтавська;Полтавський;;м.;Решетилівка;Полтавська;вулиця;2;38400;delivery;;475/08/05 від 09.08.2021;;38400, Полтавська обл., Полтавський р-н., м.Решетилівка, вул.Полтавська, 2;;;5324210100;15802432;
1010289;Чернівецька;Дністровський;;м.;Сокиряни;Коцюбинського;вулиця;4;60200;delivery;;475/08/05 від 09.08.2021;;60200, Чернівецька обл., Дністровський р-н., м.Сокиряни, вул.Коцюбинського, 4;;;7324010100;15802433;
1010290;Київська;Бориспільський;;м.;Переяслав;Героїв Дніпра;вулиця;ЗЗ;08400;delivery;;475/08/05 від 09.08.2021;;08400, Київська обл., Бориспільський р-н., м.Переяслав,  вул.Героїв Дніпра, ЗЗ;;;3211000000;15802434;
1010291;Харківська;;Київський;м.;Харків;Шевченка;вулиця;327;61070;delivery;;475/08/05 від 09.08.2021;;61070, Харківська обл., м.Харків, Київський р-н., вул.Шевченка, 327;;;6310136600;15802435;
1010292;Закарпатська;Хустський;;м.;Хуст;Гвардійська;вулиця;122-124;90400;delivery;;475/08/05 від 09.08.2021;;90400, Закарпатська обл., Хустський р-н., м.Хуст, вул.Гвардійська, 122-124;;;2110800000;15802436;
1010293;;;Святошинський;м.;Київ;Якутська;вулиця;8;03134;delivery;;502/08/05 від 25.08.2021;;03134, м.Київ, Святошинський р-н., вул.Якутська, 8;;;8038600000;15802437;
1010294;Чернівецька;Чернівецький;;м.;Кіцмань;Незалежності;вулиця;65-А;59300;delivery;;502/08/05 від 25.08.2021;;59300, Чернівецька обл., Чернівецький р-н.,  м.Кіцмань, вул.Незалежності, 65-А;;;7322510100;15802438;
1010295;Дніпропетровська;;Тернівський;м.;Кривий Ріг;Адмірала Головка;вулиця;40;50089;delivery;;502/08/05 від 25.08.2021;;50089, Дніпропетровська обл., м.Кривий Ріг, Тернівський р-н., вул.Адмірала Головка, 40;;;1211037200;15802439;
1010296;Одеська;Білгород-Дністровський;;м.;Татарбунари;23-го серпня;вулиця;21;68100;delivery;;502/08/05 від 25.08.2021;;68100, Одеська обл., Білгород-Дністровський р-н., м.Татарбунари, вул.23-го серпня, 21;;;5125010100;15802440;
1010297;Харківська;Харківський;;смт.;Нова Водолага;Гагаріна;вулиця;12;63202;delivery;;544/09/05 від 07.09.2021;;63202 Харківська обл., Харківський р-н. смт.Нова Водолага, вул.Гагаріна, 12;;;6324255100;15802441;
1010298;Харківська;;Холодногірський;м.;Харків;Кононенка;вулиця;магазин 15-П;61000;delivery;;544/09/05 від 07.09.2021;;61000, Харківська обл., м.Харків, Холодногірський р-н., вул.Кононенка, магазин 15-П;;;6310137200;15802442;
1010299;Харківська;Харківський;;смт.;Солоницівка;ЗАВОДСЬКА;вулиця;49/9;63270;delivery;;544/09/05 від 07.09.2021;;63270, Харківська обл., Харківський р-н., смт.Солоницівка, вул.Заводська, 49/9;;;6322057600;15802443;
1010300;Чернівецька;Дністровський;;м.;Новодністровськ;5-тий квартал;вулиця;3;60236;delivery;;544/09/05 від 07.09.2021;;60236, Чернівецька обл., Дністровський р-н., м.Новодністровськ, вул.5-тий квартал, 3;;;7310600000;15802444;
1010301;Волинська;Камінь-Каширський;;смт.;Маневичі;Луцька;вулиця;1;44601;delivery;;544/09/05 від 07.09.2021;;44601, Волинська обл., Камінь-Каширський р-н. смт.Маневичі, вул.Луцька,1;;;0723655100;15802445;
1010302;Полтавська;;Крюківський;м.;Кременчук;Велика Набережна;вулиця;51;39630;delivery;;544/09/05 від 07.09.2021;;39630, Полтавська обл., м.Кременчук, Крюківський р-н., вул.Велика Набережна, 51;;;5310436500;15802446;
1010303;Одеська;Одеський;;м.;Южне;ЦЕНТРАЛЬНА;вулиця;28;65482;delivery;;544/09/05 від 07.09.2021;;65482, Одеська обл., Одеський р-н., м.Южне, вул.Центральна, 28;;;5111700000;15802447;
1010304;Київська;Бучанський;;с.;Петропавлівська Борщагівка;Велика Кільцева;вулиця;4-А;08130;delivery;;544/09/05 від 07.09.2021;;08130, Київська обл., Бучанський р-н., с.Петропавлівська Борщагівка, вул.Велика Кільцева 4-А;;;3222485901;15802448;
1010305;Одеська;Одеський;;с.;Усатове;Грушевського;вулиця;114;67663;delivery;;544/09/05 від 07.09.2021;;67663, Одеська обл., Одеський р-н., с.Усатове, вул.Грушевського, 114;;;5121085201;15802449;
1010306;Кіровоградська;Голованівський;;м.;Гайворон;Василя Стуса;вулиця;3-І;26300;delivery;;544/09/05 від 07.09.2021;;26300 Кіровоградська обл., Голованівський р-н. м.Гайворон, вул.Василя Стуса, 3-І;;;3521110100;15802450;
1010307;Хмельницька;Хмельницький;;м.;Старокостянтинів;Миру;вулиця;1/155;31100;delivery;;572/09/05 від 20.09.2021;;31100, Хмельницька обл., Хмельницький р-н., м.Старокостянтинів, вул.Миру 1/155;;;6810800000;15802451;
1010308;Київська;Броварський;;с.;Погреби;Шевченка;вулиця;1;07416;delivery;;572/09/05 від 20.09.2021;;07416, Київська обл., Броварський р-н., с.Погреби, вул.Шевченка, 1;;;3221286401;15802452;
1010309;Вінницька;Вінницький;;м.;Немирів;Соборна;вулиця;206;22800;delivery;;572/09/05 від 20.09.2021;;22800, Вінницька обл., Вінницький р-н., м.Немирів, вул.Соборна, 206;;;523010100;15802453;
1010310;Київська;Фастівський;;м.;Боярка;МАЯКОВСЬКОГО;вулиця;49;08151;delivery;;572/09/05 від 20.09.2021;;08151, Київська обл., Фастівський р-н., м.Боярка, вул.Маяковського, 49;;;3222410300;15802454;
1010311;Чернівецька;Чернівецький;;м.;Вижниця;Українська;вулиця;89-Б;59200;delivery;;572/09/05 від 20.09.2021;;59200, Чернівецька обл., Чернівецький р-н., м.Вижниця, вул.Українська, 89-Б;;;7320510100;15802455;
1010312;Одеська;Роздільнянський;;с.;Кучурган;Павла Каплуна;вулиця;73;67450;delivery;;572/09/05 від 20.09.2021;;67450, Одеська обл., Роздільнянський р-н., с.Кучурган, вул.Павла Каплуна, 73;;;5123983401;15802456;
1010313;Львівська;Львівський;;м.;Городок;ДЖЕРЕЛЬНА;вулиця;16;81500;delivery;;604/09/05 від 27.09.2021;;81500, Львівська обл., Львівський р-н., м.Городок, вул.Джерельна, 16;;;4620910100;15802457;
